
832256,9280692,1428760
4f0cc7,1435565,3581750
ee7a4b,5811844,4102841
9a1a78,1683446,3138334
dda5c5,3348694,7049941
91507c,3393431,4483867
4881ea,3848998,6803553
d13dfc,5554490,4178577
8fdf0a,8333787,5894882
cd09f2,8327889,3351538
807a9f,4907714,8556636
f8ea0b,6886515,3220622
2319e4,7487400,3836776
d21f99,9036576,7469808
69bb84,7258654,4296945
acfc2d,7120454,1885608
9bcb14,7671631,7171101
441274,7515724,3374534
87046d,9747860,4684004
254502,4696294,2040306
105962,453200,2767432
51a42c,8311963,3891103
bb2fd9,4176832,6619605
f52708,9107554,6619926
bf940b,9379080,6709744
4d1fe7,9147514,4809635
ebcb0b,7255995,3894095
3aa301,7168603,3477872
e4a744,5850822,6788350
e30927,9823318,1930571
